INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815122580-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815122581-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815123686-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815123687-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815124793-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815124794-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815125904-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815125907-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815127013-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815127048-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815128154-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815128200-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815129305-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815129307-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815130414-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815130416-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815131524-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815131525-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815132631-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815132677-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815133782-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815133784-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815134889-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815134891-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815135996-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815135998-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815137105-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815137106-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815138211-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815138213-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815139320-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815139324-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815140435-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815140436-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815141543-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815141546-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815142652-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815142655-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815143760-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815143762-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815144868-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815144871-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815145979-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815145980-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815147087-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815147090-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815148198-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815148201-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815149308-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815149310-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815150416-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815150418-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815151526-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815151530-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815152639-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815152641-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815153750-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815153753-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815154862-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815154865-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815155973-0
