time,open,high,low,close
2026-02-25T04:30:00+03:00,1909.61,1922.71,1908.12,1917.65
2026-02-25T05:00:00+03:00,1917.65,1946.66,1917.08,1931.16
2026-02-25T05:30:00+03:00,1931.16,1933.45,1918.82,1920.31
2026-02-25T06:00:00+03:00,1920.31,1922.79,1904.96,1909.5
2026-02-25T06:30:00+03:00,1909.5,1911.74,1900,1905.51
2026-02-25T07:00:00+03:00,1905.51,1913.4,1892.85,1911.68
2026-02-25T07:30:00+03:00,1911.68,1914.12,1905.14,1905.57
2026-02-25T08:00:00+03:00,1905.57,1907.69,1885.24,1892.47
2026-02-25T08:30:00+03:00,1892.47,1894.19,1877,1886.95
2026-02-25T09:00:00+03:00,1886.95,1895.47,1886.25,1891.45
2026-02-25T09:30:00+03:00,1891.45,1893.2,1883.77,1884.13
2026-02-25T10:00:00+03:00,1884.13,1892.89,1881.17,1890.99
2026-02-25T10:30:00+03:00,1890.99,1894.48,1887.26,1892.36
2026-02-25T11:00:00+03:00,1892.36,1898.14,1889.27,1895.33
2026-02-25T11:30:00+03:00,1895.33,1913.84,1895.33,1909.49
2026-02-25T12:00:00+03:00,1909.49,1917.4,1906.65,1912.35
2026-02-25T12:30:00+03:00,1912.35,1915.5,1907.7,1914.51
2026-02-25T13:00:00+03:00,1914.51,1922.78,1911.18,1912.01
2026-02-25T13:30:00+03:00,1912.01,1916,1909.4,1911.89
2026-02-25T14:00:00+03:00,1911.89,1921.93,1907.2,1919.01
2026-02-25T14:30:00+03:00,1919.01,1927.87,1918.8,1925.66
2026-02-25T15:00:00+03:00,1925.66,1941.55,1921.52,1937.52
2026-02-25T15:30:00+03:00,1937.52,1956.32,1936.05,1952.99
2026-02-25T16:00:00+03:00,1952.99,1966.46,1952,1961.74
2026-02-25T16:30:00+03:00,1961.74,1976.43,1960.13,1964
2026-02-25T17:00:00+03:00,1964,1975.63,1964,1971.04
2026-02-25T17:30:00+03:00,1971.04,2002.69,1958.46,1996.65
2026-02-25T18:00:00+03:00,1996.65,2007.5,1985.94,1999.99
2026-02-25T18:30:00+03:00,1999.99,2029.93,1996.41,2013.1
2026-02-25T19:00:00+03:00,2013.1,2042.32,2012.6,2030.36
2026-02-25T19:30:00+03:00,2030.36,2049.28,2025.94,2045.89
2026-02-25T20:00:00+03:00,2045.89,2072.99,2043.55,2065.37
2026-02-25T20:30:00+03:00,2065.37,2086.45,2059.1,2073.08
2026-02-25T21:00:00+03:00,2073.08,2080.98,2056.1,2076.5
2026-02-25T21:30:00+03:00,2076.5,2077.48,2064.67,2073.29
2026-02-25T22:00:00+03:00,2073.29,2074.35,2058.73,2067.15
2026-02-25T22:30:00+03:00,2067.15,2072.84,2059.39,2070.36
2026-02-25T23:00:00+03:00,2070.36,2073.89,2059,2059
2026-02-25T23:30:00+03:00,2059,2083.95,2057,2074.13
2026-02-26T00:00:00+03:00,2074.13,2077.32,2065.8,2066.94
2026-02-26T00:30:00+03:00,2066.94,2149,2063.88,2099.85
2026-02-26T01:00:00+03:00,2099.85,2114.97,2097.48,2099.21
2026-02-26T01:30:00+03:00,2099.21,2105.37,2073.05,2082.46
2026-02-26T02:00:00+03:00,2082.46,2086.32,2066,2068.98
2026-02-26T02:30:00+03:00,2068.98,2071,2033.44,2056.8
2026-02-26T03:00:00+03:00,2056.8,2076.22,2046.81,2066.77
2026-02-26T03:30:00+03:00,2066.77,2074.39,2049.13,2061.48
2026-02-26T04:00:00+03:00,2061.48,2066.8,2053.03,2055.08
2026-02-26T04:30:00+03:00,2055.08,2064.88,2048.83,2057.92
2026-02-26T05:00:00+03:00,2057.92,2058.55,2038.43,2044.96
2026-02-26T05:30:00+03:00,2044.96,2056.97,2044.96,2052.66
2026-02-26T06:00:00+03:00,2052.66,2055.8,2046.17,2050.41
2026-02-26T06:30:00+03:00,2050.41,2059.44,2049.07,2053.64
2026-02-26T07:00:00+03:00,2053.64,2067.98,2051,2063.96
2026-02-26T07:30:00+03:00,2063.96,2082.64,2063.43,2074.43
2026-02-26T08:00:00+03:00,2074.43,2074.83,2055.61,2063.35
2026-02-26T08:30:00+03:00,2063.35,2068.92,2057.6,2065.41
2026-02-26T09:00:00+03:00,2065.41,2075.7,2059.61,2063.41
2026-02-26T09:30:00+03:00,2063.41,2066.06,2058.75,2061.59
2026-02-26T10:00:00+03:00,2061.59,2067.82,2059.94,2062.65
2026-02-26T10:30:00+03:00,2062.65,2063.41,2050.99,2052.73
2026-02-26T11:00:00+03:00,2052.73,2058.42,2044.35,2047.52
2026-02-26T11:30:00+03:00,2047.52,2057.39,2043.29,2053.42
2026-02-26T12:00:00+03:00,2053.42,2072.99,2052,2064.69
2026-02-26T12:30:00+03:00,2064.69,2076.75,2063.1,2073.99
2026-02-26T13:00:00+03:00,2073.99,2084.14,2064.02,2065.75
2026-02-26T13:30:00+03:00,2065.75,2072.23,2060.83,2064.5
2026-02-26T14:00:00+03:00,2064.5,2066.56,2056.28,2058.53
2026-02-26T14:30:00+03:00,2058.53,2061.62,2052.46,2056.54
2026-02-26T15:00:00+03:00,2056.54,2068.16,2054.35,2064.33
2026-02-26T15:30:00+03:00,2064.33,2071,2061.55,2069.11
2026-02-26T16:00:00+03:00,2069.11,2071.9,2059.62,2070.91
2026-02-26T16:30:00+03:00,2070.91,2072.71,2061.6,2064.19
2026-02-26T17:00:00+03:00,2064.19,2070.68,2057.18,2068.22
2026-02-26T17:30:00+03:00,2068.22,2078.04,2033.58,2050.12
2026-02-26T18:00:00+03:00,2050.12,2052.36,2015.39,2021.57
2026-02-26T18:30:00+03:00,2021.57,2036.37,2010.25,2032.56
2026-02-26T19:00:00+03:00,2032.56,2037.5,2019.13,2032.77
2026-02-26T19:30:00+03:00,2032.77,2033.65,1977,1982.99
2026-02-26T20:00:00+03:00,1982.99,1998.33,1981.08,1991.1
2026-02-26T20:30:00+03:00,1991.1,1996.37,1981.19,1987.2
2026-02-26T21:00:00+03:00,1987.2,1993.83,1973.08,1985.61
2026-02-26T21:30:00+03:00,1985.61,2008.64,1984.57,2002.98
2026-02-26T22:00:00+03:00,2002.98,2032.62,2002.25,2024.64
2026-02-26T22:30:00+03:00,2024.64,2033.82,2019.29,2029
2026-02-26T23:00:00+03:00,2029,2041.16,2025.7,2027.01
2026-02-26T23:30:00+03:00,2027.01,2030.45,2020.37,2022.69
2026-02-27T00:00:00+03:00,2022.69,2031.2,2016.97,2030.85
2026-02-27T00:30:00+03:00,2030.85,2034,2024.38,2029.73
2026-02-27T01:00:00+03:00,2029.73,2033.54,2025.99,2028.29
2026-02-27T01:30:00+03:00,2028.29,2037.41,2027.77,2032.03
2026-02-27T02:00:00+03:00,2032.03,2032.62,2022.46,2030.34
2026-02-27T02:30:00+03:00,2030.34,2031.18,2023.4,2026.77
2026-02-27T03:00:00+03:00,2026.77,2029.68,2017.04,2021.74
2026-02-27T03:30:00+03:00,2021.74,2023.24,2006.6,2013.44
2026-02-27T04:00:00+03:00,2013.44,2014.72,1998.21,2007.3
2026-02-27T04:30:00+03:00,2007.3,2022.1,2005.81,2020.8
2026-02-27T05:00:00+03:00,2020.8,2032.15,2017.8,2025.36
2026-02-27T05:30:00+03:00,2025.36,2033.59,2024.43,2025.02
2026-02-27T06:00:00+03:00,2025.02,2026.39,2018.31,2019.64
2026-02-27T06:30:00+03:00,2019.64,2049.41,2019.64,2044.15
2026-02-27T07:00:00+03:00,2044.15,2063.39,2041.72,2055.56
2026-02-27T07:30:00+03:00,2055.56,2056.43,2038.71,2041.83
2026-02-27T08:00:00+03:00,2041.83,2048.64,2037.28,2043.46
2026-02-27T08:30:00+03:00,2043.46,2046.32,2039.2,2040.71
2026-02-27T09:00:00+03:00,2040.71,2041.85,2027.22,2031.75
2026-02-27T09:30:00+03:00,2031.75,2039,2030.7,2035.09
2026-02-27T10:00:00+03:00,2035.09,2040.57,2029.13,2030.23
2026-02-27T10:30:00+03:00,2030.23,2033,2020.81,2031.62
2026-02-27T11:00:00+03:00,2031.62,2045,2030.32,2036.16
2026-02-27T11:30:00+03:00,2036.16,2041,2027.2,2032.53
2026-02-27T12:00:00+03:00,2032.53,2041.43,2030.49,2036.95
2026-02-27T12:30:00+03:00,2036.95,2037.72,2007.19,2009.07
2026-02-27T13:00:00+03:00,2009.07,2012.75,1983.19,1990.37
2026-02-27T13:30:00+03:00,1990.37,1998.44,1977.13,1979.76
2026-02-27T14:00:00+03:00,1979.76,1983,1965.54,1973.6
2026-02-27T14:30:00+03:00,1973.6,1974.2,1951.93,1961.01
2026-02-27T15:00:00+03:00,1961.01,1968.46,1954.08,1961.65
2026-02-27T15:30:00+03:00,1961.65,1964.31,1947.97,1959.12
2026-02-27T16:00:00+03:00,1959.12,1966.88,1954.08,1958.61
2026-02-27T16:30:00+03:00,1958.61,1965.27,1937.51,1962.18
2026-02-27T17:00:00+03:00,1962.18,1963.42,1945.81,1950.53
2026-02-27T17:30:00+03:00,1950.53,1958.35,1938.83,1942.01
2026-02-27T18:00:00+03:00,1942.01,1958.71,1939.54,1950.16
2026-02-27T18:30:00+03:00,1950.16,1952.57,1940.58,1947.49
2026-02-27T19:00:00+03:00,1947.49,1947.79,1926.06,1941.29
2026-02-27T19:30:00+03:00,1941.29,1943.33,1923.07,1926.06
2026-02-27T20:00:00+03:00,1926.06,1932.84,1909.33,1911.69
2026-02-27T20:30:00+03:00,1911.69,1933.6,1906.31,1931.01
2026-02-27T21:00:00+03:00,1931.01,1932.13,1916.74,1924.02
2026-02-27T21:30:00+03:00,1924.02,1928.77,1914.39,1917.05
2026-02-27T22:00:00+03:00,1917.05,1921.88,1910.74,1918.71
2026-02-27T22:30:00+03:00,1918.71,1922.87,1913.73,1920.3
2026-02-27T23:00:00+03:00,1920.3,1925.91,1919.03,1923.04
2026-02-27T23:30:00+03:00,1923.04,1924.7,1919.49,1922.14
2026-02-28T00:00:00+03:00,1922.14,1932.55,1919.01,1929.55
2026-02-28T00:30:00+03:00,1929.55,1929.84,1915.95,1920.34
2026-02-28T01:00:00+03:00,1920.34,1921.73,1910.02,1912.51
2026-02-28T01:30:00+03:00,1912.51,1926.15,1885.46,1919.67
