№ Сделки;Тип;Дата и время;Сигнал;Цена USDT;Размер позиции (кол-во);Размер позиции (цена);Чистая прибыль / убыток USDT;Чистая прибыль / убыток %;Благоприятное отклонение USDT;Благоприятное отклонение %;Неблагоприятное отклонение USDT;Неблагоприятное отклонение %;Совокупные ПР/УБ USDT;Совокупные ПР/УБ %
54;Вход в короткую позицию;2025-04-25 00:30;RsiSE;1751.79;0.5708;999.921732;-133.48;-13.34;11.74;1.17;-132.69;-13.26;701.78;7.02
55;Выход из короткой позиции;2025-05-09 17:30;TP Достигнут;2285.7;0.4274;999.906574;21.61;2.16;22.3;2.23;-21.38;-2.14;723.4;7.23
55;Вход в короткую позицию;2025-05-09 16:00;RsiSE;2339.51;0.4274;999.906574;21.61;2.16;22.3;2.23;-21.38;-2.14;723.4;7.23
56;Выход из короткой позиции;2025-05-13 21:00;SL Достигнут;2627.3;0.4308;999.856644;-133.48;-13.34;2.22;0.22;-132.68;-13.26;589.92;5.90
56;Вход в короткую позицию;2025-05-09 22:30;RsiSE;2320.93;0.4308;999.856644;-133.48;-13.34;2.22;0.22;-132.68;-13.26;589.92;5.90
57;Выход из короткой позиции;2025-05-14 11:30;TP Достигнут;2606.24;0.3748;999.81648;21.61;2.16;22.3;2.23;-22.15;-2.21;611.54;6.12
57;Вход в короткую позицию;2025-05-14 02:30;RsiSE;2667.6;0.3748;999.81648;21.61;2.16;22.3;2.23;-22.15;-2.21;611.54;6.12
58;Выход из короткой позиции;2025-05-15 10:30;TP Достигнут;2534.78;0.3854;999.904884;21.62;2.16;22.3;2.23;-20.98;-2.10;633.15;6.33
58;Вход в короткую позицию;2025-05-14 14:00;RsiSE;2594.46;0.3854;999.904884;21.62;2.16;22.3;2.23;-20.98;-2.10;633.15;6.33
59;Выход из короткой позиции;2025-05-17 04:30;TP Достигнут;2467.3;0.3959;999.801901;21.61;2.16;22.3;2.23;-49.36;-4.93;654.77;6.55
59;Вход в короткую позицию;2025-05-16 00:30;RsiSE;2525.39;0.3959;999.801901;21.61;2.16;22.3;2.23;-49.36;-4.93;654.77;6.55
60;Выход из короткой позиции;2025-05-18 22:30;TP Достигнут;2437;0.4009;999.996942;21.62;2.16;22.3;2.23;-38.02;-3.80;676.39;6.76
60;Вход в короткую позицию;2025-05-17 08:30;RsiSE;2494.38;0.4009;999.996942;21.62;2.16;22.3;2.23;-38.02;-3.80;676.39;6.76
61;Выход из короткой позиции;2025-05-19 07:30;TP Достигнут;2371.59;0.4119;999.858417;21.62;2.16;22.3;2.23;-3.57;-0.36;698;6.98
61;Вход в короткую позицию;2025-05-19 05:00;RsiSE;2427.43;0.4119;999.858417;21.62;2.16;22.3;2.23;-3.57;-0.36;698;6.98
62;Выход из короткой позиции;2025-06-05 23:30;TP Достигнут;2416.9;0.4042;999.90996;21.62;2.16;22.3;2.23;-128.03;-12.80;719.62;7.20
62;Вход в короткую позицию;2025-05-20 20:00;RsiSE;2473.8;0.4042;999.90996;21.62;2.16;22.3;2.23;-128.03;-12.80;719.62;7.20
63;Выход из короткой позиции;2025-06-10 22:30;SL Достигнут;2801.86;0.404;999.95656;-133.49;-13.34;7.26;0.73;-132.69;-13.26;586.13;5.86
63;Вход в короткую позицию;2025-06-07 03:00;RsiSE;2475.14;0.404;999.95656;-133.49;-13.34;7.26;0.73;-132.69;-13.26;586.13;5.86
64;Выход из короткой позиции;2025-06-12 15:00;TP Достигнут;2719.35;0.3592;999.786504;21.61;2.16;22.3;2.23;-34.88;-3.49;607.74;6.08
64;Вход в короткую позицию;2025-06-11 05:00;RsiSE;2783.37;0.3592;999.786504;21.61;2.16;22.3;2.23;-34.88;-3.49;607.74;6.08
65;Выход из короткой позиции;2025-06-12 23:30;TP Достигнут;2669.56;0.3659;999.788819;21.61;2.16;22.3;2.23;-4.83;-0.48;629.36;6.29
65;Вход в короткую позицию;2025-06-12 21:30;RsiSE;2732.41;0.3659;999.788819;21.61;2.16;22.3;2.23;-4.83;-0.48;629.36;6.29
66;Выход из длинной позиции;2025-06-13 15:00;TP Достигнут;2553.96;0.4005;999.860265;21.58;2.16;22.3;2.23;-25.61;-2.56;650.94;6.51
66;Вход в длинную позицию;2025-06-13 05:00;RsiLE;2496.53;0.4005;999.860265;21.58;2.16;22.3;2.23;-25.61;-2.56;650.94;6.51
67;Выход из короткой позиции;2025-06-14 19:30;TP Достигнут;2497.58;0.3911;999.800218;21.61;2.16;22.3;2.23;-4.85;-0.48;672.55;6.73
67;Вход в короткую позицию;2025-06-14 05:00;RsiSE;2556.38;0.3911;999.800218;21.61;2.16;22.3;2.23;-4.85;-0.48;672.55;6.73
68;Выход из короткой позиции;2025-06-17 19:30;TP Достигнут;2476.06;0.3945;999.80502;21.62;2.16;22.3;2.23;-58;-5.80;694.17;6.94
68;Вход в короткую позицию;2025-06-15 10:00;RsiSE;2534.36;0.3945;999.80502;21.62;2.16;22.3;2.23;-58;-5.80;694.17;6.94
69;Выход из длинной позиции;2025-06-20 11:00;TP Достигнут;2553.31;0.4006;999.85754;21.58;2.16;22.3;2.23;-13.48;-1.35;715.75;7.16
69;Вход в длинную позицию;2025-06-17 22:00;RsiLE;2495.9;0.4006;999.85754;21.58;2.16;22.3;2.23;-13.48;-1.35;715.75;7.16
70;Выход из короткой позиции;2025-06-22 16:00;TP Достигнут;2230.68;0.4379;999.81328;21.61;2.16;22.3;2.23;-2.16;-0.22;737.37;7.37
